"","review","sentiment"
"13491","This is an enjoyable project, that is not a film as the title suggests. Good performance by Nadia Dajani who re-enacts the role of Grace. I follows the re-enactment of what happens to Mike and Grace in New York City. She leaves, but he wants to get in contact with her. This project is his way of trying to getting in touch with her.<br /><br />I saw it on IFC. I have heard that it will be released on DVD as well. I do like this trend of more independent projects. This is an example of a good project.<br /><br />I hope that he finds her.<br /><br />Take a look and be entertained.<br /><br />KirbyEF","positive"
"18877","I thought I read somewhere that this was the last Monogram production, but whether that's true or not it doesn't matter, because if it wasn't, then it should have been. It's a deadly dull affair starring John Carradine with some gray in his hair to make himself appear like an older scientist who is experimenting with the aid of his young apprentice (Robert Shayne) in bringing the dead back to life. Every time their subjects are revived, they seem to have a whitish face like marble as they are lying strapped to the laboratory table (big deal). Carradine manages to restore his faithful dog to life after it's dead, and the mutt gains an unusual ability to walk through walls in a ghostlike fashion (wooooooooohhhh). That's about all she wrote.<br /><br />For an ultra-cheap Monogram quickie, this thing at least actually utilizes a more fancy-schmancy lab setup than is usually allotted. The funniest running joke in the movie is that the ""older"" doctor Carradine constantly refers to his ""young"" assistant Shayne as ""m'boy"" when, in fact, Carradine was actually 40 and Shayne was 45 when they made this!","negative"
"42776","Thomas Capano was not Anne Marie's boss Tom Carper, the Governor was. That is the reason the Feds became involved, he called Clinton and asked him to get the Feds involved in the case. I lived outside of Philadelphia at the time so the case was front page news every day. I also read Ann Rule's book and saw the ""City Confidential"" segment on A&E. Tom Capano was a megalomanic(sp.), an uber-controller and a monster. He claimed to love Ann Marie but all he wanted was someone that he could control. When she wouldn't let him do that anymore he killed her, the ultimate form of control. I think it's a waste of money that he is still alive.","positive"
"1141","In my Lit. class we've just finished the book, Hatchet, and this movie is nothing like the book. (1) Brian never ate worms in the book. (2) He didn't know the pilot's name. (3) His mom was cheating on his father in a station wagon not in the woods where anyone could see. (4) The man the mother is cheating with doesn't have black hair, he has blonde. <br /><br />Now for the unrealistic parts of the movie: (1) A thirteen year old can't punch his fist through a window in one punch. <br /><br />And for the acting, the kid who played Brian was a horrible actor. <br /><br />However, I do believe that the scenery was impressive, though I highly doubt the director even read the book.<br /><br />This movie is good if you have not read the book Hatchet, by Gary Paulsen, but if you have, then begin a complaint letter to the director.","negative"
"17090","I went in not knowing anything about this movie and I walked out in an half hour knowing everything about it. It was one of worst movies I've ever seen. I'm a generally a nice person but if somebody told me they liked this movie, I would probably never talk to them again. Anybody who likes it throughly is most likely to have an extremely dry, hermit type personality. I'm gonna also include that they think they are pretty intelligent too, just like the self-centered fart bags who do the voices for the movie. I know everyone has different types of humor, some people may not even like mine, but that's okay; I don't think this covers any range of humor though. This movie is as flat and dull as Wes Anderson's mind. Go in and get ready to walk out; it's best to get your money back too.","negative"
"8831","Hello, can anybody hear me? I don't know why you came to this page, but if you're a fellow viewer of this movie: join the fanclub! This movie was so unbelievably bad I couldn't stop laughing when I saw it. I think it's a must see, it's bad in a nice way. Every cliche ever invented for a horror movie can be seen here. I'm afraid it's very hard to get a copy of this movie, but it should be in the top 10 of worst movies ever made.","negative"
"1467","The is one of the worst spoofs I have ever seen. For one main reason: IT ISN'T FUNNY! I laughed a handful of times. The acting is bad, the script is worse. And why those guys had baby pacfiers in their hair I will never know. And you can tell this didn't have much of a budget to work with and it openly hurts the film. They had a good idea going in some parts but it never really came to past. And what was the point about the lead being older than his Dad? 3 out of 10","negative"
"42352","In this grim melodrama, Barbara Stanwyck plays the eldest of three wealthy sisters who become orphans when their father dies in France. Threatened with the danger of losing the opulent family home, Big Sister makes a grand sacrifice and secretly marries a real estate developer so she can inherit her... aunt's fortune. A few years later, she learns that he is after the family estate and wants to tear it down so she leaves him and tries to stop him. More time passes and the husband ends up taking her to court when he learns that she has borne him a son without telling him. The part of ""Gig Young"" was played by actor Byron Barr who later assumed the name before he became famous.<br /><br />Anyone interested in purchasing a copy let me know by writing to me at: iamaseal2@yahoo.com","positive"
"19351","This film is about the encounters of 7 couples on Hampstead heath in one sunny Wednesday afternoon.<br /><br />It shows 7 different types of couples: married, divorced, breaking up a relationship, homosexual, elderly, blind date and escort service. They are not connected to each other apart from the geographical location, so that is a disappointment. The film is a collage of conversations, without any discernible plot. The film jumps from a pair to another without any logic. I find this film boring and purposeless. The only redeeming feature is the great weather throughout the film. It is sad that talents like Ewan McGregor and Sophie Okonedo get wasted by this film.","negative"
"36287","Zombi 3 has an interesting history in it's making. Firstly, it is a sequel to Fulci's hit Zombi 2, with Zombi 2 itself being of course a marketing ploy to trick people into thinking it was a sequel to George A. Romero's Dawn of the Dead aka Zombi. Confusing enough? Basically, none of the films have anything to do with one another, but who cares when they make money. I guess Fulci himself starting to not care about the production about half way through Zombi 3 when he decided to walk out. Bruno Mattei was brought on board to help pad the film with additional scenes to lengthen the running time.<br /><br />Zombi 3's plot is your typical zombie fare. Scientists develop a serum on an island in the Philippines, terrorists steal it unleashing a plague, and zombie run amok. The scientists want to create an antidote, while the military is set on mowing down everyone without prejudice. There are also brief inserts of a Radio DJ preaching about how we treat the planet. <br /><br />Overall, I actually liked this film. I heard horrible things, but I find the goofy dialogue quite enjoyable. The film seems to be an attempt at raising awareness about pollution, corrupted military, Man playing God, etc. I get the feeling this was at one point a serious film, but it veered off in a weird direction, presumably when Mattei came on board.<br /><br />Besides ripping off other zombie flicks, this was very reminiscent of Romero's The Crazies. You hear the Radio DJ breaking the good news with, ""When you see the men in white suits & gas masks, Run to them for Help."" This is of course played to the images of the men in white gunning down zombies. Later, they straight up steal a scene from Crazies in which one of the regular, uncontaminated people is killed by mistake.<br /><br />The gore factor is pretty good in this one with zombie hordes around every corner. How is it cool? Let me count the ways1. Zombie Birth 2. Flying Zombie Head 3. Zombie Birds. 4. Zombie with no legs swimming in a pool. My favorite zombie was the machete-wielding maniac at the gas station. He was bad ass and nearly tore down the entire building trying to kill a girl.<br /><br />Favorite Quote  When a sergeant insists on cremating a zombie, the scientists asks, ""Don't you think that once the ash is in the air, it will fall to the ground, and contaminate everything?"" To which the Sargeant boldly replies, ""Now you're talking science fiction."" He also continues to mention the ""Science Fiction"" told by the scientists even at the end when everyone dies.<br /><br />Extras: Gallery, Trailers, and Interviews, most notably the one with Mattei where he insists he directed 40% of the scenes, yet cannot recall which ones or any other significant details.<br /><br />Bottom Line: A must see for zombie and Fulci fans.<br /><br />Rating: 7/10<br /><br />Molly Celaschi www.HorrorYearbook.com MySpace.com/HorrorYearbook","positive"
"40108","This isn't the comedic Robin Williams, nor is it the quirky/insane Robin Williams of recent thriller fame. This is a hybrid of the classic drama without over-dramatization, mixed with Robin's new love of the thriller. But this isn't a thriller, per se. This is more a mystery/suspense vehicle through which Williams attempts to locate a sick boy and his keeper.<br /><br />Also starring Sandra Oh and Rory Culkin, this Suspense Drama plays pretty much like a news report, until William's character gets close to achieving his goal.<br /><br />I must say that I was highly entertained, though this movie fails to teach, guide, inspect, or amuse. It felt more like I was watching a guy (Williams), as he was actually performing the actions, from a third person perspective. In other words, it felt real, and I was able to subscribe to the premise of the story.<br /><br />All in all, it's worth a watch, though it's definitely not Friday/Saturday night fare.<br /><br />It rates a 7.7/10 from...<br /><br />the Fiend :.","positive"
"1874","In the literal sense....<br /><br />Reminds you of those ""cops-and-robber"" or cowboys-indians"" role-playing games you played with your 8 year old friends. <br /><br />Tedious and un-inspired, the storyline was obviously written to make bad acting and dialogue seem as part of the plot, but all it does is showcase it. I cant believe John Badham let his name be associated with this piece of crap. This could have been done better by a high school film buff who had been given the camera lighting, filmstock and editing<br /><br />Destined to be a time-filler on Sci-fi channel, when they've overused everything else from their library, and barely better than the paid programming shill downstream.","negative"
"17724","Having seen most of the Coen Brothers previous films I expected something different and slighty off centre. OBWAT is certainly those things, but it also has a heart as big as..well..as big as Mississippi. It is one of the most plainly enjoyable movies to have come out in recent times, intelligent, well-crafted, clever and superbly acted.<br /><br />Characters are delivered in their myriad shades by a group of marvellous actors. George Clooney winning me over completely with his Clark Gable-ish looks and character. Having only ever seen him in Three Kings and his Thin Red Line cameo, I am now a fan. More comedy please George.<br /><br />John Tuturro and Tim Blake Nelson ably assist, especially Nelson. If ever ""The Simpsons"" is made into a movie then he must be a natural to play Cletus the slack-jawed yokel. I don't think there is a performance that falls short of excellent from the entire cast. My special favorite is Stephen Root as the blind Radio Station Man.<br /><br />Great old-timey music, a jiggy type dance by Clooney that I am trying to learn, and a feel of depression era southern US enhanced by sepia-like photography make this the best movie I've see so far this century. The only drawback to the film is that it has almost sent me broke buying the soundtrack, the DVD and a DVD player to play it on....it's THAT good!<br /><br />","positive"
