review,sentiment
"I'm sure this is a show no one is that familiar of and might not think good of it; after all it is almost close to Baywatch Hawaii. With the cast, the location, style of the directing and its publicity  shows women walking around on the beach and all that. No wonder people have misconception and decide not to watch it.<br /><br />It was wrong of them to do that. Cause after I decide to watch the show, there are actually more thing going on, real juicy story and conflict, turn out to be really exciting to watch and pretty much  addictive.<br /><br />The story of the hotel clerks, the manager, the owner and their complicated love life. Also enter the troublesome hotel's visitor and powerful man trying to steal the hotel. It actually more exciting than it sounds here.<br /><br />I won't deny that the acting suck but it ain't that bad that you'll look away. The story is not so consistence but good enough. The soundtrack is fitting pretty well with the scenario and the action is all the time. I took me couple of episode before there is actually anything happen solidly so be patience.<br /><br />Recommendation: I Really Do Enjoy Watching This. Zillion Times Better Than Expected.<br /><br />Rating: 7.5/10 (Grade: B)<br /><br />Please Rate My Review After Reading It, Thanks.",positive
"I saw this movie at an advance screening and found it excellent.<br /><br />New York I Love You is a true spin on a romance that explores clever, funny, and sometimes shocking situations around the human race's most powerful emotion.<br /><br />The cast is huge, a veritable Oceans 11 with Andy Garcia, Ethan Hawke, Shia Labouf, Natalie Portman, Bradley Cooper and others. They all give stand out performances in one way or another.<br /><br />That's not to mention that there is a who's who of directors interweaving stories in clever and interesting ways. Brett Rattner, Shaka Kapur, Natalie Portman, I mean -WOW! This movie is not a straight ahead romance or romantic comedy even though it is both romantic and funny. It also has serious stories and notes. But that's good in my opinion. Go see it for yourself and reply to my review, I want to hear what others have to say.",positive
"I think this is one of those few movies that I want to rate it as low as possible just to pay it a compliment.<br /><br />I haven't seen this movie in about 25 years, so I really can't say that much about it. It still seems to be very hard to find on video. But I remember my brother and I stumbled upon it somewhere in the toxic brew of late night UHF channel television of the mid 1980s when I was about 10 years old. So I've never actually seen the beginning of the movie, but I saw most of it. The first thing I remember is this couple is sneaking out of a campsite and they're rowing to an island to make out, and then they get attacked by an insane Scotsman in a kilt with an axe! They manage to escape from him but get attacked by the Loch Ness Monster, which in this movie is just a head and a neck with no body. The eyes and the mouth of the monster don't even move, it looks like a piñata.<br /><br />I mean I had just literally never seen anything on this magnitude before and it totally blew my mind. I had seen some bad movies on TV in the early 80s but I had never seen something so totally inept and so casually and thoughtlessly constructed that it seemed like the people who made it spent less time and effort on it than we did watching it. I had already seen some of the Troma films and that type of thing that tries to deliberately be ""campy"", but this was the pure and real stuff and it was my first encounter with truly great bad film-making. This movie was like the last gasp of the drive-in era and I caught a whiff of it just in time. Actually when we were watching it, we couldn't figure out if it was made in the 50s or the 70s. Turns out it came out just a few years before I saw it.<br /><br />Later I came into contact with Mystery Science Theater and found out about a lot of the old B movies and serials, but I had already seen it in this movie. The movie is so funny that I had never even laughed that hard at the Monty Python crew or Bill Murray or any comedian. After seeing this movie I was always trying to search for the ""good bad"" movies and I got a lot of my friends into it. But this movie was and basically is an impossible one to find. I never really found out what it even was or who Larry Buchanan was until the 1990s when IMDb took off and the internet took off and information started getting passed around. But this movie still needs to be discovered by a lot of others who might appreciate its transcendentally bad qualities. Look for it.",negative
"OK the box look interesting, the opening have great music and its kinda original, to that its all OK. But when the movie start...well its not my first videoville movie, i watched Ghost Lake, and its very similar of this movie except its ever worse here. The story at first sounded interesting but the whole movie look like a movie shot by a bunch of university student, with specials effect that me laugh, the blood look like a mix of red and white paint, the fire effect on the demon face look like it was done with a program i could buy at my local computer shop. All the movie is shot in day(very great for a movie supposed to be horror) and there like no gore(1 scene only and it look so home-made and not credible) and near no blood(it can be considered a great thing considering the look of the blood show) and 1 demon for the whole movie. The story is going nowhere , it give you the impression that it never start, there so much useless scene done only to give the movie the average duration time(when the demon search the guy in the dogs thing for about 4 minutes...) Way too much slow-mo things. Well lets just say this movie is a Z-series one and a very poor one. All cool idea lost themselves and you get a cheesy movie. It bored my all long and I'm not the guy who get bored very easily with horror movie, man i even like house of the dead and alone in the dark from Uwe Boll and you probably know the name for being one of the worst director but here it look too much like some guys wanting to make a movie for fun. Plus for us french speaker(tough i understand English i prefer to watch movie in my native language) there the usual videoville bad translation. In normal movie you can barely see its not the actor speaking(you have to check on lips etc) here you just have to listen to it and you know it. Very cheesy",negative
"Has anyone else noticed that this version is basically a scene-by-scene remake of the 1933 version, with some of the scenes taken out? It makes me think less of a film that does that, showing a definite want of creativity. In all fairness, I tend to be biased in favor of Katharine Hepburn, but this version of the film seems like cinematic plagiarism. The 1933 version was nice and sweet, though a little awkward in presentation and transition at times, and then this version took the script, the music, and even a fair amount of the scene blocking from the earlier version. I don't understand the point of making the film again when the method of remaking it was to basically redo George Cukor's film with everything the same except the people working on it.",negative
"The fact that most of the budget for this presumably went on the heavy-duty cast list shouldn't have mattered if it had been staged with flair and imagination and some sympathy for the original's satirical intent. Instead we get risibly bad song and dance sequences featuring picturesque beggars and whores, and the final alienation is accomplished by pulling back to reveal the action has taken place on a music-hall stage, appropriately enough for a production that's more Lionel 'Oliver' Blair than Brecht. The acting talent is shamefully misused: Migenes and Walters are good but don't have to try very hard: Migenes at least has a great voice and some feel for the material. Julia looks perfect as Mack, but struggles with the character, straitjacketed by a fake plummy accent. Harris's Peachum is embarrassingly mannered and Polly is atrocious. The adaptations of lyrics, script and music are often awkward: it was a bad move to base the film on Marc Blitzstein's bowdlerised Broadway version, but at least his words were singable, unlike most of what's been interpolated in gestures of faithfulness. And the attempt at overcoming the low budget by filming at claustrophobic angles on mist-shrouded sets lit in garish blues and oranges as if by some bargain-basement Vittorio Storaro fails utterly -- the film just looks cheap, shoddy and thoughtlessly made. Disgraceful.",negative
"This, and ""Hidden fortress"" are the Kurosawa's that are most dear to me. I don't hand out 10's like candy, but this certainly deserved it, if anything. Even though it's quite long (like all Kurosawa's pretty much are) it concurred the problem which bugs me with most of his films; the storyline is often too loose and slowly evolving, containing scenes that are unnecessary or just lenghtened too much without any real purpose to the storyline or the character description. Dodesukaden delivered to me the same experience that for example ""Hidden fortress"" did; despite its lenght, there wasn't a single minute I would cut out.<br /><br />This is also a very unusual Kurosawa film in a way, it has no storyline, but many little independent stories which are based more to the character description than storyline, unlike any other Kurosawa-film I have seen so far. It also leans much on the dialogue, which he uses brilliantly (especially in the story between the father and the son planning their ""new house""). <br /><br />Still the thing that makes this one a masterpiece is how the subject being so tragic as it is, is managed to be described so humanely and sympathetically, without pointing fingers at anybody at any point. From the beginning to the end it delivers the whole emotional scale from laughter to tears in perfect balance.",positive
"Good, funny, straightforward story, excellent Nicole Kidman (I almost always like the movies she's in). This was a good ""vehicle"" for someone adept at comedy and drama since there are elements of both. A romantic comedy wrapped around two crime stories, great closing lines. Chaplin, very good here, was also good in another good, but unpopular romantic comedy (""Truth about Cats & Dogs""). Maybe they're too implausible. Ebert didn't even post a review for this. The great ""screwball"" comedies obviously were totally implausible (""Bringing up Baby"", etc.). If you've seen one implausible comedy, you've seen them all? Or maybe people are ready to move on from the 1930s. Weird. Birthday Girl is a movie I've enjoyed several times. Nicole Kidman may be the ""killer app"" for home video.",positive
"I can't say this is the worst movie ever made, but personally I think of it that way because when it was originally released in theaters, (1) the initial buzz was positive enough that my girlfriend insisted we go see it, and we actually STOOD IN LINE to get tickets, and (2) it's still the only ""serious"" film I recall where the audience started snickering at a certain point and basically laughed at the movie the rest of the way through. Once we reached the infamous (and interminable) snake fight scene, I think everyone gave up.<br /><br />The only positive I can concede is the lush location shooting. Oh, and there's also Bo's breasts, although her acting is so wooden that the nudity is unerotic and doesn't rate much more than a Playboy pictorial.<br /><br />The ""dramatic tension"" in this film is between Bo's terrible acting and her husband's horrible direction. The snake fight has to be one of the most incompetent ""action"" sequences ever filmed. However, this is one of those films that's bad enough, it may be worth watching on the level of unintentional humor. Definitely the worst film I ever paid to see.",negative
"I know that this is an unpopular position concerning Zabriskie Point, but I LOVED this film. I know, I know - I can legitimately be called an Antonioni fanatic. I love L'Avventura, I love La Notte, I love L'Eclisse, I love Red Desert, I love Blowup, and I love Professione: Reporter (aka The Passenger). The only Antonioni film that I don't love, the only one I've ever given less than an 8/10 (and one of only three that I have given less than a 10/10, La Notte and L'Eclisse being the other two, though I fully acknowledge that I have to see both of them again), is Beyond the Clouds, which can fairly be called an awful film. However, there is not better awful film, if you catch my drift. So if you're NOT an Antonioni fan, you should only logically ignore me. If you are even a casual fan, though, and you are wondering whether this particular film, whose name, when spoken, is often followed by<br /><br />a spit, which is generally despised by even Antonioni's admirers, is at all worth seeing, the answer is YES.<br /><br />Okay, the reason that people tend to hate it is because 99% of film watchers care ONLY for the narrative of a film. Well, that's not exactly true. If a film is amazing in a particular aspect, say acting or cinematography or direction, and just decent in its narrative, film watchers might very well love it. But a film can be the most amazing visual masterpiece and have a lame or illogical story - that's another thing that has ruined the cinema over the years: logic - then they absolutely hate the film. I will actually agree with that in some ways. As much as I may dislike it and want to change my view, it really is difficult to love a film whose narrative I perceive as poor. However, other people tend to get annoyed at a loose narrative. This is certainly what must drive viewers away from Zabriskie Point. I could relate the story to you, but you probably would just think it was nonsensical. It is, actually, but, to me, that just made the whole endeavor more fantastic and beautiful. I'd actually compare it favorably to 2001, which is my favorite film. However, 2001 is perfectly coherent compared to the rambling narrative of this film.<br /><br />What Zabriskie Point has in spades is mood. The music helps a lot; the score includes a lot of acts of the day, including Pink Floyd. The mood is kind of similar to the moods of Antonioni's other masterpieces, filled with loneliness and desolation. Also the freedom that comes from that. The best sequence in the film is when the lead man and woman (her name is Daria, I know, but I don't remember his name) pull over in their vehicle next to a historic marker on a desert highway. There is, beyond the stone wall that has been erected to keep cars from flying off, an ancient lakebed. It's basically a rocky desert, and the two go to play in it. The setting is enormously beautiful. The woman says: ""This is such a beautiful place. What do you think?"" The man: ""I think it's dead."" There's no inclination to whether that's a good thing or a bad thing. This is a lot like sentiments expressed in other Antonioni films - characters are constantly wanting to disappear or become invisible. Instead of David Locke, the protagonist of The Passenger, fed up with journalism, we have the young hippie sick of his friends' politics - he thinks they talk too much and don't act out what they feel is right, or at least he says he does. It seems to me more like he just wanted out of the situation.<br /><br />The film is also simply amazing visually. Antonioni's films are all identifiable by just a few frames, but his visual style was always building. I like The Passenger more than I do Zabriskie Point, but Zabriskie Point might be his ultimate accomplishment in that aspect. Well, that might sound odd - L'Avventura and Red Desert are amazing pictorially. I think it's the camera movements that are particularly amazing here. He obviously made a ton of money on Blowup, which was the biggest arthouse hit of its day, the biggest ever at that point. He spends it well here, especially with his aerial shots. One of the film's greatest sequences involves the man, who has stolen a man's private airplane, dive-bombing Daria in her car.<br /><br />The one thing that can be fairly criticized is the film's politics. They're certainly facile. Not that hippies were facile, but that Antonioni's vision of hippies - there weren't any in Italy, of course - are bizarre and, well, filtered through a foreigner's eyes. There's a rather childish criticism of advertising, but it's a criticism that still exists today. I say, can't you people just ignore it? What does it hurt? Are you walking around buying things you don't want because of billboards? Or there is also the criticism against capitalism. Daria, a secretary, works for a company that is stealing the land in the desert - the land that she and the man enjoyed to themselves - in order to make cheap, suburban homes for families. Rod Taylor, a very underrated actor whose most famous roles were in The Time Machine and The Birds, plays her boss. The ending, which I won't ruin - you've got to see it - is almost offensively cheap. I can, though, understand the treatment of police officers. Not that I disdain them generally, but they were awful at the time. They can still be awful now. They've always had too much power.<br /><br />These trite arguments against the American way of life still don't effect my opinion of the film much. I find this filtered view of America extremely interesting. I really don't think a hippie would have disagreed with Antonioni. 10/10.",positive
