label,review
1,??四海~ //@钟楚红Cherie:生日快??Leslie. 怎?忘?你！ //@MollyChoi916:[心][爱你][花心]
1,[嘻嘻]在加拿大的小伙伴也走起?
0,要上班了[泪] 我在:http://t.cn/zTG2ve6
1,"#Travelzoo旅游族超值机票特惠情报#春暖3月，西藏林芝的桃花即将开放，此时的西藏，游人不多，风景幽美[好喜欢] ~现@东方航空 推出【拉萨至上海机票特惠】仅￥1,010/人起，相当于3.7折。去时坐火车进拉萨适应高原反应，回时坐飞机则可节约出行时间[太开心] ~ http://t.cn/8F1fFHF"
1,#七年后再游日照#  今天就要回家了，临走时看中顶草帽[汗] 买了吧，只能下次出游戴了[哈哈][哈哈][哈哈]  我在这里:http://t.cn/zHeBjDv
1,那再夸下去吾要得瑟骄傲来[害羞] ，低调低调点[耶]//@-小K妈-:伊么老吃老组来！老法师来[嘻嘻]//@小妞妈咪:通妈你太太太太厉害了[鼓掌]叫我们怎么办啊[挖鼻屎]
1,[鼓掌]//@分担: [鼓掌]//@幽幽绿竹林: //@我爱单反摄影: //@阳光洒满小院: //@阳光和天地: 苦瓜不苦，好清新[good]
0,为毛总觉得他说得都是乌鸦嘴呢。[衰][衰][衰]不会是要跌了吧。
1,#80公升爱在边境# 太美了！哈哈，旅行是最好的化妆品和保养品，你同意吗？[哈哈]
1,恭喜！小编和小编的小伙伴都很满意~亲啥时候来取礼品提前联系小编哟！//@罗宾s凯: 偷偷告诉你们[嘘][嘘]，这么便宜的五星级酒店北京少有！[抱抱][抱抱] //@罗宾s凯: 当然是真的啦，而且我还能说地理位置超级好吗？ //@首都大酒店官方微博: 还真是哎！小编考虑下说实话是不是应该有多重好礼呢？[阴险]
0,唉呀妈呀。[可怜]//@linda慧慧: 恐怖。。。 //@粉妖怪:回复@夫子徐:擦 太可怕了 大半夜的闹哪样[衰]@小了个橙子 @linda慧慧 @玉珠子 //@夫子徐: @粉妖怪 警惕 //@Z_燕小云:都是南京吗？金陵噩梦啊 //@首席观察: 这几天第三个了吧？
1,哈哈。还是忍不住转发。还有谢谢亲爱的礼物?，你是第一件哦！而且给我绝对的惊喜[爱你]
0,大晚上的招人哭啊[泪][泪] //@全球热门伤不起:如果你能压抑浮躁，可以一起看看这平淡的故事。
0,回复@Here_球球:  老乡，你别这样，回浦江我请你吃绿豆糕~ //@Here_球球:那么不知足啊，我这一个小馒头8毛。舍不得买[泪] //@何小春max:回复@小崔Online:[威武] //@小崔Online:回复@何小春max:[耶] 木有问题~为了搜刮春哥一顿，也得去趟杭州~
0,唉……不应该啊，上海的公交服务向来是国内最好的，被她丢脸了[泪][泪]
1,GRD，有钱人哟[嘻嘻] //@宝宝冰冰666:我买了一个，23800.现在还在
0,不仅孩子，差点把自己都舍了去[泪]//@天空晴朗3: 舍不得孩子套不着狼[嘻嘻] //@杨新阳-旅伴:是啊！ //@管理老金: 花了巨资吧
0,回复@于士博0411:我刚才是转发的 我要让大家都看到你的丑恶嘴脸 //@于士博0411:回复@赵玺为赵彬相声:我不说话了！[悲伤]
0,晚上川成元加鲜果时光本以为有海盐系列可惜记错了原来是那是快乐柠檬才有[泪][泪]
1,北京西单美爵酒店大宴会厅备有先进的视听设备[围观]，是举办各种仪式庆典、商务会议、招待会和宴会的最佳场所！[呵呵]在这里，您可以拥有美轮美奂的婚礼现场[心]，在这里，您也可以享受别有特色的主题宴会[亲亲]！美爵，用心感受，身之所在~@purple_1001
0,我何尝不是。我都出去吃了个早点散了个步了。//@H侯小娜na：一点睡觉，六点起 //@杜小花花花花花__:对啊、中午还有一午觉呢… // @杨雅淇叶叶叶叶 : 我们还可以听听收音机 逛逛早市 // @橙子亮亮 : [抓狂]变成老年人睡眠啦
0,我深知再万能的面膜，再牛逼的spa也挽不回姐姐被化妆品深度腐蚀滴脸[挖鼻屎][抓狂][委屈]，我只有使出杀手锏---[睡觉]睡觉！！[酷]。还是不行只有靠终极灭绝武器PS鸟[鼓掌]。各位著名的姐明天14：30?15：30到@婷婷L的小窝  @袁玫angel  @李小碧Cecily @王小悦Yolanda  Good night!
0,我发现自己一点也不热爱生活[悲伤]，生活于我，可有可无，似乎每天上班下班回家睡觉，就完成了我的人生。F U C K !!!
1,【零点缘分互动贴】睡不着的蟹蟹们开始活动起来啦，快来报上生日，遇有缘蟹友啦~~[太开心] （@巨蟹座网 微信号：juxiezuowang）
1,我在:#长沙黄花菜机场# 。和涵哥在一起[哈哈]
1,股市？除了牛市的时候跟着赚点儿，其他时候一概不要参与[lt切克闹]//@尼克安闲: 回复@湘夫人:怕与不怕在于内心有多强大[嘻嘻] //@湘夫人:@55168论坛-上市公司调研网 @候宁@尼克安闲 @长余量化对冲投资 @有福社长 @好人老周 @北京老老徐 @保利地产复星 你们都是高人 别闲聊了 研究一下吧 //@湘夫人
0,这篇文章是用我的博文拼凑起来的吧？连图片也用我的！最糟糕的是，为什么把七月娃娃改成七0娃娃，这个差好远的有木有？[泪]@常德晚报官方微博
1,老外总结出来的28件能瞬间毁灭心情的小事。。。。你中枪了么[哈哈]via英国那些事儿
0,一次也没吃过[泪] //@WenMimi：[泪] 只吃过一次酸奶冰淇淋，想吃
0,赞 //@糖果色诱惑:不要再来引诱我拉~~[泪][泪][泪]
0,突然想起来，昨天在太阳宫凯德Mall的泡泡玛特里看到超级漂亮的lomo相机、鱼眼相机、拍立得etc.各种喜欢各种流口水！价格基本全部上千，体积小，外观复古又骚气，外置闪光灯，不太能理解机身重量居然是佳能600D的一倍。略长草，要是有点积蓄就想入手了[泪][lxhx狂欢]
0,死一百回都便宜了她！[抓狂] [怒]//@DJ陈磊:靠！我诅咒这恶人全家死光// @DJ刘茜 : 人肉它！！！！[怒] // @思同的围脖 : 畜生~！！[抓狂]
1,我也喜欢老托的片子//@托斯卡纳TSKL:谢谢帅哥编辑//@栾春明:就喜欢你的片子 //@托斯卡纳TSKL:谢谢编辑推荐[爱你]//@中国摄影师杂志://@小海学摄影: [鼓掌]
1,[嘻嘻]最近太忙，压面机休息好久了，看到你们做的我也安慰了
0,//@记者联合调查: //@记者联合调查: //@patrick方:[哈哈] //@HenReyes://@今日在线微评:美丽的神话[抓狂] //@守候者说://@沙漠里的曝光台: 转发微博
1,[哈哈]对，再来几盅。 //@侯宁: 喝一盅就能入睡啊，说明这厮压力不大啊。继续施压！
1,[哈哈][哈哈]//@JACKY-GOLF:[good]//@神回复吐槽鬼: 人一简单就快乐，一世故就变老。保持一颗年轻的心，做一个简单的人。
0,疯了心了这是[汗]//@梦回圆明Viki:这。。这。。。[衰]
1,碉堡是什么意思？是黄继光炸的那个吧！黄继光堵枪眼来着吧？那炸碉堡的是谁！邱少云！~~~~~~~ @黄小闲86 @武越明 @iam王璞 @lucky梁璐 @末末周织围脖 这辈子就指着这个笑了~~~[哈哈][哈哈][哈哈]
1,[爱你][吐]//@安然的蓝: [吐]//@向雷锋学习的向雷: [爱你][吐]//@出版人七七未央: //@同学你该吃药了: [爱你][吐] //@我的朋友是个呆B:[爱你][吐]//@萌了个包:[爱你][吐]//@你方便时方不方便吃方便面: [爱你][吐]//@一枚可爱的小瓶钙:[爱你][吐] //@女孩子闭起眼睛来就是要你亲她嘛:[爱你][吐]
0,一大早这车就这么烦躁！[怒] 我在:http://t.cn/zlsybg0
0,#为爱向前冲#今天节目还没开始，我们的@茉莉弦_郑莉 和男嘉宾就开始辩论了，今天节目里又会出现什么样的状况那[抓狂]
1,我喜欢五花肉，每天十盒太少了。 //@高金庄园黑猪:[哈哈][哈哈][哈哈]小伙伴快来选购！@晌午的精灵 @苏怡GG @成都多米诺 @敏一嘴 @王诗琪Kelly
1,她的市长是选举的吧？ //@锦诺忠哥:回复@上海卡聂?葡萄酒重庆王?毅:心理阴影  //@上海卡聂?葡萄酒重庆王?毅:这等市长可能也被哪个过[哈哈][哈哈]  //@锦诺忠哥:支持  //@jerry是律师:  //@锦瑟无端五十弦7:   //@一心向善大爱无疆: 畜生！   //@LENOVO525:  //@戴刚米:   //@光学镀膜的阿俊:
0,没事，放心//@陈玉霞博斐秀禾:注意体形[抓狂]
1,@言之海也 快买快买，我也买！[鼓掌]
1,可以试试！让护士跟你说：亲，给个好评噢！[爱你] //@浙江电信-周晨: @YOYO-阳阳
0,太尼玛缺德了！转！[怒][弱] //@帅帅小欣欣: 天下之大，无处说理！@兔拉拉810 转起来
0,今天一天都烦躁心绪不宁，果然晚上游泳?溺水了，喝了一肚子水，拼命挣扎，看着自己在水里冒泡喘不过气的感觉真可怕，甚至想喊也喊不出来！还好老公及时赶到，我的小命保住了，再也不去深水区了！！生命太脆弱了，死亡太可怕了！[泪][泪][泪]
1,#随手拍#@MR小a @蛋蛋IN北京 三个男人相约一起@王府半岛酒店 没有妹纸着实不太像我们的风格哈哈。虽没妹纸但在这温馨的环境中，喝着暖暖的热巧吃着火鸡和树根蛋糕三个男淫也聊得不亦乐乎。而且卫生间偶遇@大菜微博 不过是门口呦哈哈[哈哈]。还有超可爱的小菜。@紫色透明 姐没有来[泪] @京城美食探店
1,我的良师益友死党，我的事业幸运启明星，上升双鱼的狮子男，文艺气质的理智老板，舞台上的音乐诗人，生活中的绝世好男人：炮哥！@胡海泉 生日快乐！爱生活！爱炮哥！[哈哈]
0,我想去，但是没有时间...[泪]
0,真想骂街!这会儿才发现没有个自己的爷们在身边真不行，我这扛着五六个包爬大五楼，现在真心想死。我的爷们，我真心祝你在那儿吃苦受罪，不用想我。[衰]
1,刘校长在主持车上娱乐项目...[哈哈]@尚涛造型刘颖倩
0,[晕]简直美翻了 什么时候才可以去希腊哇 ps：昨晚们你到你嘞#^_^#
0,金箍棒。。。我日？？？？[抓狂][抓狂][抓狂][抓狂]
0,得有多脑残的企业高管才愿意投资3千万以上在毒气重重的北京搞个户口？有这种眼光的领导人的企业大概也没法实现可持续发展。另：天朝千万不要迁都去祸害别的地方[衰]
0,[泪][泪][泪] //@YukyYuky陈钰琪:理性的人 会选择相望于江湖[心]
0,好靓啊[抓狂]见到美景好想旅行啊
0,@91外教网小龙女 龚海燕说在世纪佳缘上有位美女收到了18万求婚信  牛啊  被这么多男银追多幸福啊 但这数字对这位美女也是很痛苦滴[抓狂][哈哈][嘻嘻] 她咋看咋选择呢[吃惊][睡觉]
1,[嘻嘻]生日快乐哦[蛋糕][礼物]
1,刚刚遇到@尼玛哈海 从早上6点就没休息过 //@海南神州半岛喜来登度假酒店: 必须入住率100%[鼓掌][鼓掌]
1,我的新新相机[哈哈]
0,自己做[偷笑] //@??清泉--?瑟皮大王:凶了要西，一边做汗都滴在铁板上//@钱熠在纽约: 我也晓得这个地方的[泪]//@DBenny:[威武]
0,据说上班族是这样描述一周的。[晕]
